ID;Описание материала;URL категоии;URL;12-39кг;40-199кг;200-499кг;500-1тн;1-3тн;от 3тн;* (40|200|500|1000|3000|88888888);;;;
64;Элакор-МБ2 Акриловый лак (концентрат);materialy-elakor/laki;elakor-mb2;235;220;210;200;195;190;* (40|200|500|1000|3000|88888888);;;;
65;Тонер для цветных лаков;materialy-elakor/laki;elakor-pu-toner-dlya-laka;1260;1260;1260;1260;1260;1260;* (40|200|500|1000|3000|88888888);;;;
67;Эмаль-60 - полиуретановая краска для бетона;materialy-elakor/emali-kraski;elakor-pu-emal-60;400;390;380;370;365;360;* (40|200|500|1000|3000|88888888);;;;
68;Лак-60 - полиуретановый лак;materialy-elakor/laki;lak-60;415;400;390;380;375;370;* (40|200|500|1000|3000|88888888);;;;
69;Шпатлёвка-2К - полиуретановая шпатлевка для бетона;materialy-elakor/shpatlevki;shpatlyovka-2k;285;270;260;250;245;240;* (40|200|500|1000|3000|88888888);;;;
147;Эпоксидный наливной пол;materialy-elakor/nalivnye-poly;epoksidnyy-nalivnoy-pol;460;450;440;430;425;420;* (40|200|500|1000|3000|88888888);;;;
148;Грунт-2К/40 - максимально глубокая грунтовка;materialy-elakor/grunty-gruntovki;grunt-2k-40;345;330;320;310;305;300;* (40|200|500|1000|3000|88888888);;;;
149;Грунт-25 - полиуретановая грунтовка (ремонтная);materialy-elakor/grunty-gruntovki;poliuretanovaja-gruntovka;315;305;295;285;280;275;* (40|200|500|1000|3000|88888888);;;;
162;Люкс Эмаль - двухкомпонентная краска (глянцевая);materialy-elakor/emali-kraski;dvuhkomponentnaya-emal;695;680;670;660;655;650;* (40|200|500|1000|3000|88888888);;;;
151;Бетоноконтакт;materialy-elakor/grunty-gruntovki;grunt-betonokontakt;115;108;104;100;97;94;* (40|200|500|1000|3000|88888888);;;;
152;Полиуретановый наливной пол;materialy-elakor/nalivnye-poly;poliuretanovyy-nalivnoy-pol;335;320;310;300;295;290;* (40|200|500|1000|3000|88888888);;;;
153;Эпоксидный антистатический наливной пол;materialy-elakor/nalivnye-poly;antistaticheskiy-nalivnoy-pol;605;590;580;570;565;560;* (40|200|500|1000|3000|88888888);;;;
154;Лак-2К - эпоксидный лак (прозрачный светостойкий);materialy-elakor/laki;epoksidnyy-lak;910;900;890;880;875;870;* (40|200|500|1000|3000|88888888);;;;
156;Шпатлёвка-2К - эпоксидная шпаклевка (цветная);materialy-elakor/shpatlevki;epoksidnaya-shpatlevka;400;390;380;370;365;360;* (40|200|500|1000|3000|88888888);;;;
159;Герметик для Пола – герметик для горизонтальных швов;materialy-elakor/shpatlevki;poliuretanovyy-germetik;405;390;380;370;365;360;* (40|200|500|1000|3000|88888888);;;;
160;Люкс Грунт - двухкомпонентный грунт;materialy-elakor/grunty-gruntovki;dvuhkomponentnyy-grunt;465;450;440;430;425;420;* (40|200|500|1000|3000|88888888);;;;
161;«Эко» Грунт;materialy-elakor/grunty-gruntovki;pischevoy-grunt;395;380;370;360;355;350;* (40|200|500|1000|3000|88888888);;;;
163;«Люкс» лак для дерева (глянцевый, светостойкий);materialy-elakor/laki;dvuhkomponentnyj-lak;595;580;570;560;555;550;* (40|200|500|1000|3000|88888888);;;;
165;«Эко» Лак-60;materialy-elakor/laki;pischevoy-lak;435;420;410;400;395;390;* (40|200|500|1000|3000|88888888);;;;
166;«Эко» Эмаль-60 (для бетона);materialy-elakor/emali-kraski;pischevaya-emal;425;410;400;390;385;380;* (40|200|500|1000|3000|88888888);;;;
167;Грунт для Металла - грунтовка по металлу;materialy-elakor/grunty-gruntovki;grunt-metall;315;305;295;285;280;275;* (40|200|500|1000|3000|88888888);;;;
168;Лак для Металла;materialy-elakor/laki;lak-metall;410;400;390;380;375;370;* (40|200|500|1000|3000|88888888);;;;
197;Эмаль-2К/100 - эпоксидная краска фактурная;materialy-elakor/emali-kraski;ed_emal_2k100_fact;540;530;520;510;505;500;* (40|200|500|1000|3000|88888888);;;;
169;Эмаль для Металла - краска для металла;materialy-elakor/emali-kraski;emal-metall;460;450;440;430;425;420;* (40|200|500|1000|3000|88888888);;;;
170;Эмаль-2К - краска для асфальта;materialy-elakor/emali-kraski;kraska-asfalta;345;330;320;310;305;300;* (40|200|500|1000|3000|88888888);;;;
171;Наливной пол Белый Экстра (чистый белый цвет);materialy-elakor/nalivnye-poly;belyy-nalivnoy-pol;625;610;600;590;585;580;* (40|200|500|1000|3000|88888888);;;;
172;Прозрачный наливной пол (для 3D полов);materialy-elakor/nalivnye-poly;prozrachnyy-nalivnoy-pol;910;900;890;880;875;870;* (40|200|500|1000|3000|88888888);;;;
173;Добавка для бетона Эластобетон-А1 (3% на цемент);materialy-elakor/dobavki-dlya-betona;elastobeton-a;150;140;132;126;123;120;* (40|200|500|1000|3000|88888888);;;;
174;Добавка для бетона Эластобетон-Б (20кг на 100кг цемента);materialy-elakor/dobavki-dlya-betona;elastobeton-b;215;205;197;190;180;175;* (40|200|500|1000|3000|88888888);;;;
176;Силер - влагоудерживающая пропитка бетона, топпинга цена за л;materialy-elakor/prochie;siler;230;222;216;210;205;200;* (40|200|500|1000|3000|88888888);;;;
177;Элакор-МБ3 - очистка бетона и металла (концентрат);materialy-elakor/prochie;elakor-mb3;205;190;177;170;165;160;* (40|200|500|1000|3000|88888888);;;;
178;Элакор-МБ4 Гидрофобизатор;materialy-elakor/prochie;gidrofobizator;150;140;135;130;125;120;* (40|200|500|1000|3000|88888888);;;;
194;Антистатический грунт;materialy-elakor/grunty-gruntovki;antistaticheskiy-grunt_pu;385;370;360;350;345;340;* (40|200|500|1000|3000|88888888);;;;
195;ПУ Грунт-2К/100 - полиуретановый грунт без растворителя;materialy-elakor/grunty-gruntovki;pu_grunt_2k100;540;530;520;510;505;500;* (40|200|500|1000|3000|88888888);;;;
196;Грунт-2К/60 - эпоксидная грунтовка глубокая (с растворителем);materialy-elakor/grunty-gruntovki;ed_grunt_2k60;585;575;565;555;550;545;* (40|200|500|1000|3000|88888888);;;;
198;Эпоксидный компаунд тиксотропный;materialy-elakor/prochie;ed_kompaund;820;810;800;790;785;780;* (40|200|500|1000|3000|88888888);;;;
199;Эмаль-60 Полуматовая;materialy-elakor/emali-kraski;pu_emal_kraska;385;375;365;355;350;345;* (40|200|500|1000|3000|88888888);;;;
200;Лак для камня, кирпича;materialy-elakor/laki;pu_lak_kam;375;360;350;340;335;330;* (40|200|500|1000|3000|88888888);;;;
201;Лак Полуматовый , блеск 25-30% (однокомпонентный);materialy-elakor/laki;pu_lak_polumat_1k;385;370;360;350;345;340;* (40|200|500|1000|3000|88888888);;;;
202;Лак Матовый , блеск 9-11% (однокомпонентный);materialy-elakor/laki;pu_lak_mat_1k;435;420;410;400;395;390;* (40|200|500|1000|3000|88888888);;;;
203;Лак Универсальный – однокомпонентный;materialy-elakor/laki;pu_lak_uni_1k;390;380;370;360;355;350;* (40|200|500|1000|3000|88888888);;;;
204;Колор-Паста для полиуретанов;materialy-elakor/prochie;colr_pasta;605;590;585;580;575;570;* (40|200|500|1000|3000|88888888);;;;
207;Люкс Лак-Р ПолуГлянцевый , блеск 35-40% (с растворителем);materialy-elakor/laki;lux_lakr_poluglanz;610;590;580;570;565;560;* (40|200|500|1000|3000|88888888);;;;
208;Люкс Лак-Р ПолуМатовый , блеск 20-25% (с растворителем);materialy-elakor/laki;lux_lakr_polumat;720;700;690;680;675;670;* (40|200|500|1000|3000|88888888);;;;
60;ПУ Грунт - полиуретановый грунт для бетона;materialy-elakor/grunty-gruntovki;elakor-pu-grunt;375;360;350;340;335;330;* (40|200|500|1000|3000|88888888);;;;
209;Люкс Лак-Р Матовый , блеск 7-9% (с растворителем);materialy-elakor/laki;lux_lakr_mat;770;750;740;730;725;720;* (40|200|500|1000|3000|88888888);;;;
211;Паркетный лак (полиуретановый, особо износостойкий);materialy-elakor/laki;lak_parket;370;360;350;340;335;330;* (40|200|500|1000|3000|88888888);;;;
62;Грунт-2К/100 - эпоксидный грунт пропиточный (безрастворный);materialy-elakor/grunty-gruntovki;grunt-2k-100;765;755;745;735;725;720;* (40|200|500|1000|3000|88888888);;;;
61;Грунт-2К/50 - грунтовка глубокого проникновения;materialy-elakor/grunty-gruntovki;grunt-2k-50;365;350;340;330;325;320;* (40|200|500|1000|3000|88888888);;;;
376;Смола АРТ – прозрачная смола для заливки;materialy-elakor/prochie;epoksidnaya-smola-dlya-zalivki-prozrachnaya;910;900;890;880;870;860;* (40|200|500|1000|3000|88888888);;;;
377;Эмаль-2К/80 - антистатическая эмаль эпоксидная;materialy-elakor/emali-kraski;antistaticheskaya-emal-ed-emal-2k-80;860;830;810;790;780;770;* (40|200|500|1000|3000|88888888);;;;
378;Грунт-В - водный эпоксидный грунт;materialy-elakor/grunty-gruntovki;grunt-v-vodnyy-epoksidnyy-grunt;415;400;390;380;375;370;* (40|200|500|1000|3000|88888888);;;;
379;Лак-В - матовый эпоксидный лак (водоразбавляемый);materialy-elakor/laki;lak-v-v-matovyy-epoksidnyy-lak-vodorazbavlyaemyy;800;780;760;740;730;720;* (40|200|500|1000|3000|88888888);;;;
380;Эмаль-В - водоразбавляемая эпоксидная краска;materialy-elakor/emali-kraski;emal-v-vodorazbavlyaemaya-epoksidnaya-kraska;495;470;445;430;420;410;* (40|200|500|1000|3000|88888888);;;;
381;Наливной пол-В - водный эпоксидный наливной пол;materialy-elakor/nalivnye-poly;nalivnoy-pol-v-vodnyy-epoksidnyy-nalivnoy-pol;390;375;365;355;345;340;* (40|200|500|1000|3000|88888888);;;;
382;Элакор-ЭД Грунт-АКЗ - Антикоррозионная Грунт-Эмаль;materialy-elakor/grunty-gruntovki;elakor-ed-grunt-akz-antikorrozionnaya-grunt-emal;520;510;500;490;485;480;* (40|200|500|1000|3000|88888888);;;;
384;Люкс Грунт - полиуретановый светостойкий;materialy-elakor/grunty-gruntovki;lyuks-grunt-poliuretanovyy-svetostoykiy;465;450;440;430;425;420;* (40|200|500|1000|3000|88888888);;;;
386;Эмаль полиуретановая (с пониженной вязкостью);materialy-elakor/emali-kraski;emal-poliuretanovaya-s-ponijennoy-vyazkostyu;380;370;360;350;345;340;* (40|200|500|1000|3000|88888888);;;;
387;Полиуретан-цементный пол Т1, 2-3мм (самовыравнивание);materialy-elakor/nalivnye-poly;poliuretan-tsementnyy-nalivnoy-pol-elakor-pts-t1;190;182;177;173;169;165;* (40|200|500|1000|3000|88888888);;;;
388;Полиуретан-цементный пол Т2, 4-6мм (самовыравнивание);materialy-elakor/nalivnye-poly;poliuretan-tsementnyy-nalivnoy-pol-elakor-pts-t1_388;170;162;157;153;149;145;* (40|200|500|1000|3000|88888888);;;;
389;Полиуретан-цементный пол Т3, 7-12мм (самовыравнивание);materialy-elakor/nalivnye-poly;poliuretan-tsementnyy-nalivnoy-pol-elakor-pts-t1_388_389;150;141;136;131;128;125;* (40|200|500|1000|3000|88888888);;;;
390;Ремонтный эпоксидный состав (ровнитель для пола);materialy-elakor/shpatlevki;remontnyy-epoksidnyy-sostav-rovnitel-dlya-pola;360;350;340;330;325;320;* (40|200|500|1000|3000|88888888);;;;
391;Люкс Эмаль светостойкая;materialy-elakor/emali-kraski;lyuks-emal-svetostoykaya;695;680;670;660;655;650;* (40|200|500|1000|3000|88888888);;;;
392;Люкс Лак-Р Глянцевый , блеск 93-98% (с растворителем);materialy-elakor/laki;lyuks-lak-r-glyantsevyy-blesk-93-98-s-rastvoritelem;595;580;570;560;555;550;* (40|200|500|1000|3000|88888888);;;;
393;Грунт-2К/100П - эпоксидный грунт порозаполняющий;materialy-elakor/grunty-gruntovki;grunt-2k-100p-epoksidnyy-grunt-porozapolnyayuschiy;540;530;520;510;505;500;* (40|200|500|1000|3000|88888888);;;;
394;Антистатическая Пропитка;materialy-elakor/grunty-gruntovki;antistaticheskaya-propitka;740;710;690;680;675;670;* (40|200|500|1000|3000|88888888);;;;
397;Полиуретановый наливной пол Промышленный;materialy-elakor/nalivnye-poly;poliuretanovyy-nalivnoy-pol-promyshlennyy;270;255;245;235;230;225;* (40|200|500|1000|3000|88888888);;;;
398;Герметик PU-40 – однокомпонентный 600мл цена за шт.;materialy-elakor/grunty-gruntovki;germetik-pu-40-odnokomponentnyy-600ml-tsena-za-sht;390;380;372;365;360;355;* (40|200|500|1000|3000|88888888);;;;
399;Лак-В - глянцевый эпоксидный лак (водоразбавляемый);materialy-elakor/laki;lak-v-glyantsevyy-epoksidnyy-lak-vodorazbavlyaemyy;680;660;640;620;610;600;* (40|200|500|1000|3000|88888888);;;;
400;Люкс Эмаль-Т - светостойкая краска для металла;materialy-elakor/emali-kraski;lyuks-emal-t-svetostoykaya-kraska-dlya-metalla;795;780;770;760;755;750;* (40|200|500|1000|3000|88888888);;;;
401;Лак Акриловый для дерева (прозрачный, светостойкий);materialy-elakor/laki;lak-akrilovyy-dlya-dereva-prozrachnyy-svetostoykiy;235;220;210;200;195;190;* (40|200|500|1000|3000|88888888);;;;
402;Шпатлёвка-2К БП - полиуретан.шпатлевка (без пигментов);materialy-elakor/shpatlevki;shpatlyovka-2k-bp-poliuretan-shpatlevka-bez-pigmentov_402;265;255;245;235;230;225;* (40|200|500|1000|3000|88888888);;;;
403;Грунт-П - порозаполняющий грунт полиуретановый;materialy-elakor/grunty-gruntovki;grunt-p-porozapolnyayuschiy-grunt-poliuretanovyy;330;315;305;295;290;285;* (40|200|500|1000|3000|88888888);;;;
404;Эмаль-2К/100 - фактурная краска (без растворителей);materialy-elakor/emali-kraski;emal-2k-100-fakturnaya-kraska-bez-rastvoriteley_404;455;445;435;425;420;415;* (40|200|500|1000|3000|88888888);;;;
214;Краска для дерева (полиуретановая эмаль для дерева);materialy-elakor/emali-kraski;kras_wood;400;390;380;370;365;360;* (40|200|500|1000|3000|88888888);;;;
215;Элакор-МБ2 Акриловая краска (концентрат);materialy-elakor/emali-kraski;el_mb2;176;164;158;150;145;140;* (40|200|500|1000|3000|88888888);;;;
216;Добавка для бетона Эластобетон-А2 концентрат (1,5%/цемент);materialy-elakor/dobavki-dlya-betona;elasto_a2;240;230;220;210;205;200;* (40|200|500|1000|3000|88888888);;;;
362;Наливной пол Эластичный (Шор D 35-45ед);materialy-elakor/nalivnye-poly;elast-nalivnoy-pol_362;415;400;390;380;375;370;* (40|200|500|1000|3000|88888888);;;;
371;Наливной пол Резиновый (Шор D 25-35ед);materialy-elakor/nalivnye-poly;elast-nalivnoy-pol_362_371;450;435;425;415;410;405;* (40|200|500|1000|3000|88888888);;;;
366;Люкс Лак-В Матовый , блеск 7-10% (водный);materialy-elakor/laki;lux_lakv_vod_366;935;920;910;900;890;880;* (40|200|500|1000|3000|88888888);;;;
367;Полиуретановый антистатический наливной пол;materialy-elakor/nalivnye-poly;pu_antistaticheskiy-nalivnoy-pol_367;430;420;410;400;395;390;* (40|200|500|1000|3000|88888888);;;;
374;Шпатлёвка-2К БП - эпоксидная шпатлевка (без пигментов);materialy-elakor/shpatlevki;epoksidnaya-shpatlevka_bp;380;370;360;350;345;340;* (40|200|500|1000|3000|88888888);;;;
